#,Name,Current,24h Peak,All-Time Peak
1,PUBG: BATTLEGROUNDS,348934,394124,3257248
2,Lost Ark,150814,268748,1325305
3,Counter-Strike: Global Offensive,794771,831308,1308963
4,Dota 2,552395,609521,1295114
5,Cyberpunk 2077,11912,13529,1054388
6,ELDEN RING,35166,38827,953426
7,New World,10733,16199,913634
8,Valheim,13317,20003,502387
9,Terraria,40885,44404,489886
10,Capcom Arcade Stadium,105,229,488791
11,Fallout 4,14299,18300,472962
12,Life is Strange 2,144,212,468717
13,Among Us,6284,9094,447476
14,Apex Legends,287239,322805,412556
15,POSTAL,25,42,412063
16,World of Warships,12417,12417,379096
17,Grand Theft Auto V,118278,123650,364548
18,HITMAN™ 2,1143,1255,361001
19,Kathy Rain,75,153,348015
20,Monster Hunter: World,24748,28559,334684
21,PUBG: Test Server,43,88,320178
22,Counter-Strike,10217,13021,319586
23,Destiny 2,43446,63520,292513
24,The Elder Scrolls V: Skyrim,3114,4034,287411
25,Dying Light 2,5159,6144,274983
26,Halo Infinite,1980,5932,272586
27,KHOLAT,128,245,272019
28,Yu-Gi-Oh! Master Duel,37206,43509,262689
29,ARK: Survival Evolved,101641,112406,248405
30,Mount & Blade II: Bannerlord,15908,17100,248216
31,PAYDAY 2,36943,45293,247709
32,Rust,81735,99278,245243
33,Envoy 2,0,0,244375
34,MONSTER HUNTER RISE,135999,157273,231360
35,For Honor,4103,4493,225831
36,Braveland,33,68,218169
37,Geneshift,156,228,214143
38,No Man's Sky,7871,9300,212613
39,Dota Underlords,2730,2944,202334
40,Tom Clancy's Rainbow Six Siege,51807,57902,201053
41,New World Public Test Realm,22,46,200856
42,Total War: THREE KINGDOMS,7385,8015,192298
43,A Story About My Uncle,97,173,190590
44,Warframe,44119,46229,189837
45,Football Manager 2020,4990,5607,189464
46,NARAKA: BLADEPOINT,84228,86597,187468
47,NARAKA: BLADEPOINT Demo,0,0,186589
48,Source SDK Base 2013 Multiplayer,190,266,184888
49,鬼谷八荒 Tale of Immortal,14893,17435,184171
50,Hyperdrive Massacre,1,3,181308
51,Evolvation,123,223,172870
52,Fall Guys,30502,38184,172213
53,Total War: WARHAMMER III,5795,7135,166754
54,DISTRAINT: Deluxe Edition,87,163,165266
55,The Tiny Bang Story,149,240,164840
56,Company of Heroes 2,6872,7451,164688
57,Sid Meier's Civilization VI,36783,39197,162657
58,Left 4 Dead 2,21736,25219,162399
59,Halo: The Master Chief Collection,2652,5036,161024
60,Path of Exile,11998,16389,158882
61,Battlefield™ 2042 Open Beta,1,2,156665
62,Orwell,82,168,154375
63,Team Fortress 2,101863,106774,151253
64,Z1 Battle Royale,178,202,151239
65,V Rising,12609,16593,150645
66,Murderous Pursuits,131,219,149224
67,NARAKA: BLADEPOINT Playtest,0,0,148931
68,BROKE PROTOCOL: Online City RPG,42,66,147854
69,Rocket League,18358,39268,147632
70,Layers of Fear,69,85,145384
71,New World Open Beta,0,0,141668
72,Crusader Kings II,2559,3346,141439
73,Fortified,2,8,138627
74,Party Animals Demo,0,0,135843
75,Source SDK Base 2007,2683,24874,133175
76,XCOM 2,3319,4239,133022
77,DARK SOULS™ III,3564,3728,129975
78,Hacknet,541,635,127640
79,Wolcen: Lords of Mayhem,142,145,127542
80,Human: Fall Flat,3215,3907,127517
81,Sekiro™: Shadows Die Twice,7745,8379,125315
82,OUTRIDERS,3388,5556,125143
83,Borderlands 2,3202,4672,124678
84,Back 4 Blood Beta,0,1,122659
85,Prismata,8,15,122553
86,Insurgency,707,781,121575
87,Eador. Masters of the Broken World,42,67,118780
88,Call of Duty: Black Ops - Multiplayer,195,337,118593
89,Total War: ROME II - Emperor Edition,4482,6011,118240
90,Tom Clancy's The Division,795,849,114228
91,Total War: WARHAMMER,564,763,113019
92,Call of Duty: Modern Warfare 2 (2009) - Multiplayer,275,455,112874
93,Phasmophobia,12365,20759,112717
94,FIFA 22,52212,67242,108295
95,Dread Hunger,27782,31493,107982
96,Guns of Icarus Online,1,11,107883
97,Resident Evil Village,1095,1232,106631
98,Wallpaper Engine,80702,85330,106210
99,Farming Simulator 22,16993,25656,105636
100,Realm Royale,643,846,105440
